team,name,number,position,first,last,minutes,touches,passes,pass-acc,crosses,cross-acc,assists,chances,goals,shots,s-target,s-box,s-out-box,tackles,t-won,duels,d-won,clearances,interceptions,yellow,red,f-won,f-conceded,shots faced,saves,claimed crosses,cs
VFC,James Pantemis,1,g,James,Pantemis,180,67,49,76.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,1
VFC,José Antonio Galán Pedrosa,21,m,José,Galán,23,26,23,91.3,0,0.0,0,1,1,1,1,1,0,1,1,3,1,0,0,0,0,0,2,0,0,0,0
VFC,Julian Dunn-Johnson,5,d,Julian,Dunn,180,113,94,80.0,0,0.0,0,0,0,0,0,0,0,4,1,13,9,4,0,0,0,1,0,0,0,0,0
VFC,Mastanabal Kacher,7,f,Masta,Kacher,112,48,27,66.7,5,0.0,0,2,0,2,0,2,0,0,0,10,5,0,0,1,0,3,1,0,0,0,0
VFC,Moses Dyer,6,m,Moses,Dyer,85,34,16,0.0,0,0.0,0,0,0,3,0,3,0,1,1,13,7,0,1,0,0,2,2,0,0,0,0
VFC,Raphael Ohin,27,m,Raphael,Ohin,135,88,71,84.2,0,0.0,0,0,0,2,0,1,1,3,2,10,8,0,2,0,0,3,1,0,0,0,0
VFC,Shaan Hundal,11,f,Shaan,Hundal,84,24,15,72.7,1,0.0,2,3,0,1,1,1,0,0,0,8,2,0,0,0,0,0,2,0,0,0,0
VFC,Solomon Kojo Antwi,25,m,Solomon,Kojo Antwi,29,22,9,75.0,0,0.0,0,0,0,0,0,0,0,3,2,8,3,0,1,0,0,0,1,0,0,0,0
VFC,Stefan Cebara,14,m,Stefan,Cebara,156,122,85,80.5,1,0.0,0,1,0,0,0,0,0,2,1,14,8,2,2,0,0,2,2,0,0,0,0
Y9,Diyaeddine Abzi,20,d,Diyaeddine,Abzi,174,118,61,79.4,2,0.0,0,1,0,2,1,2,0,5,3,20,12,6,6,0,0,4,2,0,0,0,0
Y9,Gabriel Monteiro Vasconcelos,99,f,Gabriel,Vasconcelos,54,13,8,75.0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Y9,Ijah Halley,14,d,Ijah,Halley,6,13,5,60.0,0,0.0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,2,1,0,0,0,0
Y9,Isaiah Johnston,44,m,Isaiah,Johnston,9,3,1,0.0,0,0.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Y9,Joseph Di Chiara,8,m,Joseph,Di Chiara,180,104,67,78.0,5,50.0,0,2,1,5,2,1,4,3,3,27,11,2,4,2,0,5,6,0,0,0,0
Y9,Kyle Porter,19,m,Kyle,Porter,151,78,46,97.1,10,33.3,0,3,0,1,0,1,0,1,1,8,4,2,2,0,0,1,0,0,0,0,0
Y9,Lowell Wright,80,f,Lowell,Wright,91,22,10,60.0,0,0.0,0,0,1,3,1,3,0,1,1,8,2,1,0,0,0,0,0,0,0,0,0
Y9,Luca Gasparotto,13,d,Luca,Gasparotto,180,132,103,82.6,0,0.0,0,0,0,2,0,2,0,2,1,14,12,12,6,0,0,2,1,0,0,0,0
Y9,Manuel Aparicio,10,m,Manny,Aparicio,81,42,27,66.7,2,0.0,0,1,0,1,0,1,0,0,0,8,3,0,0,0,0,3,3,0,0,0,0
Y9,Matthew Arnone,17,d,Matthew,Arnone,62,31,24,78.3,0,0.0,0,0,0,0,0,0,0,1,1,3,2,1,2,0,0,1,1,0,0,0,0
Y9,Max Ferrari,16,m,Max,Ferrari,46,27,18,71.4,4,50.0,0,1,0,1,0,1,0,1,0,6,3,0,0,0,0,0,0,0,0,0,0
Y9,Michael Petrasso,21,m,Michael,Petrasso,29,11,3,33.3,1,0.0,0,0,0,1,0,0,1,0,0,3,1,1,0,0,0,1,1,0,0,0,0
Y9,Morey Doner,3,d,Morey,Doner,180,116,60,77.1,10,25.0,0,1,0,0,0,0,0,0,0,8,5,2,7,0,0,2,1,0,0,0,0
Y9,Nathan Ingham,29,g,Nathan,Ingham,180,53,45,85.7,0,0.0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,7,4,0,0
Y9,Roger Thompson,6,d,Roger,Thompson,180,159,129,85.9,1,0.0,0,2,0,2,0,2,0,3,2,14,9,10,6,0,0,2,3,0,0,0,0
Y9,Ryan Telfer,18,m,Ryan,Telfer,170,74,32,71.4,10,37.5,0,4,0,6,3,2,4,4,3,21,11,0,4,0,0,2,0,0,0,0,0
Y9,Wataru Murofushi,23,m,Wataru,Murofushi,118,80,68,100.0,0,0.0,0,0,0,0,0,0,0,0,0,9,6,1,1,0,0,6,1,0,0,0,0
Y9,Álvaro Rivero Sánchez,7,f,Álvaro,Rivero,89,27,10,80.0,0,0.0,0,1,1,1,1,1,0,0,0,9,5,1,1,0,0,4,0,0,0,0,0
