team,name,Min,ExpG,ExpA,Goal,PenGoal,GoalDirFK,GoalHead,Ast,PsAtt,PsOnHfScs,PsOpHfScs,Touches,DuelLs,SucflDuels,TcklMade%
York9,Ryan Telfer,90,0.95,0.35,0,0,0,0,0,25,5,12,58,5,12,100.0%
York9,Ryan Telfer,90,0.55,0.1,1,0,0,0,1,25,4,19,54,8,9,50.0%
York9,Ryan Telfer,90,0.29,0.0,1,0,0,0,0,25,7,8,53,8,6,50.0%
York9,Ryan Telfer,90,0.36,0.19,0,0,0,0,0,39,14,19,53,5,3,33.3%
York9,Ryan Telfer,90,0.1,0.17,0,0,0,0,0,19,6,5,51,9,10,80.0%
York9,Ryan Telfer,89,0.48,0.09,0,0,0,0,0,30,8,18,49,3,4,50.0%
York9,Ryan Telfer,45,0.0,0.0,0,0,0,0,0,18,2,12,37,5,4,100.0%
York9,Ryan Telfer,90,0.78,0.11,1,0,0,0,0,24,7,9,34,4,4,0.0%
York9,Ryan Telfer,76,0.19,0.03,2,0,0,0,0,15,6,7,34,4,5,100.0%
York9,Ryan Telfer,26,0.0,0.12,0,0,0,0,0,9,2,4,19,5,2,-
Forge,Alexander Achinioti-Jönsson,87,0.0,0.0,0,0,0,0,0,67,37,20,82,3,6,100.0%
Forge,Alexander Achinioti-Jönsson,90,0.0,0.0,0,0,0,0,0,64,29,22,75,4,11,50.0%
Forge,Alexander Achinioti-Jönsson,90,0.0,0.0,0,0,0,0,0,50,30,13,67,5,11,100.0%
Forge,Alexander Achinioti-Jönsson,90,0.51,0.27,0,0,0,0,1,51,24,25,66,3,4,75.0%
Forge,Alexander Achinioti-Jönsson,90,0.06,0.0,0,0,0,0,0,50,29,17,64,3,8,100.0%
Forge,Alexander Achinioti-Jönsson,90,0.0,0.0,0,0,0,0,0,55,26,24,63,2,4,100.0%
Forge,Alexander Achinioti-Jönsson,90,0.02,0.11,0,0,0,0,0,56,33,19,61,2,4,100.0%
Forge,Alexander Achinioti-Jönsson,90,0.0,0.0,0,0,0,0,0,46,19,17,60,5,6,100.0%
Forge,Alexander Achinioti-Jönsson,90,0.04,0.0,0,0,0,0,0,49,27,20,59,5,3,50.0%
Forge,Alexander Achinioti-Jönsson,90,0.0,0.0,0,0,0,0,0,42,20,8,56,2,5,100.0%
Forge,Alexander Achinioti-Jönsson,90,0.0,0.79,0,0,0,0,1,39,13,15,54,6,9,75.0%
Forge,Alexander Achinioti-Jönsson,90,0.0,0.0,0,0,0,0,0,38,18,12,50,7,6,60.0%
Forge,Alexander Achinioti-Jönsson,77,0.12,0.0,0,0,0,0,0,41,22,13,47,2,4,66.7%
Forge,Alexander Achinioti-Jönsson,90,0.0,0.0,0,0,0,0,0,28,8,7,47,7,6,33.3%
Forge,Alexander Achinioti-Jönsson,89,0.0,0.0,0,0,0,0,0,23,13,5,39,1,10,100.0%
Forge,Alexander Achinioti-Jönsson,90,0.0,0.0,0,0,0,0,0,23,12,5,35,7,9,71.4%
Forge,Alexander Achinioti-Jönsson,45,0.0,0.0,0,0,0,0,0,21,10,9,31,4,5,100.0%
Forge,Alexander Achinioti-Jönsson,90,0.0,0.0,0,0,0,0,0,24,5,6,31,4,4,100.0%
Forge,Alexander Achinioti-Jönsson,90,0.0,0.0,0,0,0,0,0,21,5,7,30,3,1,0.0%
Forge,Alexander Achinioti-Jönsson,37,0.0,0.0,0,0,0,0,0,24,13,10,28,1,5,100.0%
Forge,Alexander Achinioti-Jönsson,23,0.0,0.0,0,0,0,0,0,14,5,6,21,1,2,100.0%
Forge,Alexander Achinioti-Jönsson,9,0.0,0.0,0,0,0,0,0,7,3,4,11,0,1,100.0%
